month,State,Total Sales Demand,Total Units Demanded per SKU,Order ID,Country,Cust_State
10,A2H,820.1349,176,43,CA,A
11,A2H,1013.2216,143,64,CA,A
12,A2H,1249.915,79,42,CA,A
1,A2N,339.0804,24,22,CA,A
2,A2N,258.0331,44,17,CA,A
3,A2N,165.391,30,6,CA,A
4,A2N,341.6663,83,43,CA,A
10,A2N,153.0568,22,2,CA,A
11,A2N,331.2805,19,10,CA,A
1,A2V,73.2771,34,21,CA,A
2,A2V,466.3819,107,11,CA,A
3,A2V,270.1413,43,28,CA,A
4,A2V,388.894,68,54,CA,A
9,A2V,443.7208,121,29,CA,A
10,A2V,522.6075,313,23,CA,A
11,A2V,394.1179,6,6,CA,A
12,A2V,355.0726,82,45,CA,A
1,A5A,12.622,3,2,CA,A
2,A5A,185.9251,35,20,CA,A
3,A5A,614.7502,87,65,CA,A
4,A5A,943.7164,117,90,CA,A
10,A5A,80.7796,7,7,CA,A
11,A5A,255.2038,53,20,CA,A
12,A5A,126.3814,19,4,CA,A
1,A8A,49.1575,11,5,CA,A
3,A8A,131.5502,13,13,CA,A
4,A8A,42.2454,15,5,CA,A
10,A8A,106.6921,15,6,CA,A
11,A8A,235.4207,25,3,CA,A
12,A8A,520.5,101,29,CA,A
1,AK,9433.68,2011,567,US,AK
2,AK,8634.88,1694,483,US,AK
3,AK,10504.84,1903,787,US,AK
4,AK,16496.72,2808,1316,US,AK
5,AK,3059,461,201,US,AK
6,AK,5801.12,939,222,US,AK
7,AK,7770.35,1196,406,US,AK
8,AK,6833.14,979,359,US,AK
9,AK,9359.98,1661,454,US,AK
10,AK,7442.12,1363,503,US,AK
11,AK,17730.74,2819,929,US,AK
12,AK,9758.58,1686,536,US,AK
1,AL,80944.58,14557,6057,US,AL
2,AL,66994.89,13453,4915,US,AL
3,AL,88511.66,14289,7020,US,AL
4,AL,120139.84,24742,12581,US,AL
5,AL,33297.64,4183,1930,US,AL
6,AL,44561.3,7104,2940,US,AL
7,AL,75134.01,11387,4792,US,AL
8,AL,62504.48,9886,3968,US,AL
9,AL,75617.3,13141,5085,US,AL
10,AL,108198.98,14729,5737,US,AL
11,AL,248444.35,26471,11586,US,AL
12,AL,145552.04,18432,8810,US,AL
1,AR,44016.47,7898,3405,US,AR
2,AR,30480.23,5724,2339,US,AR
3,AR,43207.95,8124,3686,US,AR
4,AR,47657.17,8823,4242,US,AR
5,AR,16898.85,2414,1112,US,AR
6,AR,23713.67,4015,1712,US,AR
7,AR,44825.83,6312,2916,US,AR
8,AR,30591.34,4580,1862,US,AR
9,AR,41567.61,7507,3057,US,AR
10,AR,48660.47,7431,3045,US,AR
11,AR,127356.91,12217,5721,US,AR
12,AR,70913.2,8074,4149,US,AR
1,AZ,132538.79,26877,8650,US,AZ
2,AZ,96477.01,17296,6653,US,AZ
3,AZ,142311.4,23382,11506,US,AZ
4,AZ,142405.83,28603,15769,US,AZ
5,AZ,48390.34,7077,3039,US,AZ
6,AZ,67155.77,10982,4595,US,AZ
7,AZ,99530.71,16720,6404,US,AZ
8,AZ,96449.15,16647,6057,US,AZ
9,AZ,115760.62,18955,7313,US,AZ
10,AZ,145962.58,22045,8459,US,AZ
11,AZ,316186.75,35166,15004,US,AZ
12,AZ,204225.16,26945,12511,US,AZ
1,B0C,124.9056,21,4,CA,B
2,B0C,88.1919,16,5,CA,B
3,B0C,112.0827,39,14,CA,B
4,B0C,610.8491,54,38,CA,B
10,B0C,12.0024,2,1,CA,B
11,B0C,159.572,14,6,CA,B
12,B0C,159.5689,10,8,CA,B
1,B0E,154.1232,45,27,CA,B
2,B0E,475.5212,47,38,CA,B
3,B0E,1183.3008,205,127,CA,B
4,B0E,2163.6122,403,277,CA,B
10,B0E,383.22,32,15,CA,B
11,B0E,438.4637,29,21,CA,B
12,B0E,1201.9555,84,40,CA,B
3,B0H,183.4628,43,21,CA,B
4,B0H,536.5425,117,73,CA,B
10,B0H,37.5394,2,1,CA,B
11,B0H,149.5049,13,9,CA,B
1,B0J,634.6883,46,23,CA,B
2,B0J,161.743,36,12,CA,B
3,B0J,918.2362,196,136,CA,B
4,B0J,4064.6371,642,436,CA,B
10,B0J,51.4943,19,9,CA,B
11,B0J,878.4261,150,34,CA,B
12,B0J,1056.2994,107,48,CA,B
1,B0K,61.1102,26,11,CA,B
2,B0K,126.8715,6,6,CA,B
3,B0K,1179.4088,334,110,CA,B
4,B0K,5047.103,704,433,CA,B
9,B0K,68.3119,7,1,CA,B
10,B0K,2165.6301,70,29,CA,B
11,B0K,566.4965,32,7,CA,B
12,B0K,722.7129,65,38,CA,B
2,B0L,46.6262,15,14,CA,B
4,B0L,140.1473,23,14,CA,B
11,B0L,53.2567,1,1,CA,B
12,B0L,60.2318,1,1,CA,B
3,B0M,631.9662,101,68,CA,B
4,B0M,1509.9951,256,160,CA,B
10,B0M,212.1449,5,5,CA,B
11,B0M,229.0336,21,8,CA,B
1,B0N,49.6575,6,6,CA,B
2,B0N,236.866,41,8,CA,B
3,B0N,1801.6034,265,144,CA,B
4,B0N,4860.5386,900,544,CA,B
9,B0N,37.9234,2,2,CA,B
10,B0N,409.2453,25,19,CA,B
11,B0N,777.4626,45,22,CA,B
12,B0N,439.0216,50,22,CA,B
1,B0P,473.6019,31,11,CA,B
2,B0P,75.508,9,2,CA,B
3,B0P,2464.2889,358,257,CA,B
4,B0P,3074.202,589,286,CA,B
11,B0P,181.0221,4,4,CA,B
12,B0P,694.1421,21,16,CA,B
2,B0R,103.4822,25,9,CA,B
3,B0R,65.801,20,11,CA,B
4,B0R,863.711,138,100,CA,B
11,B0R,22.8274,2,2,CA,B
12,B0R,81.2752,5,5,CA,B
1,B0S,212.6727,28,14,CA,B
2,B0S,235.3321,77,26,CA,B
3,B0S,277.2416,34,29,CA,B
4,B0S,1657.5958,281,166,CA,B
10,B0S,181.7257,10,8,CA,B
11,B0S,765.0407,126,41,CA,B
12,B0S,439.6847,15,14,CA,B
1,B0T,205.7991,48,26,CA,B
3,B0T,420.7482,86,49,CA,B
4,B0T,1319.2454,219,134,CA,B
10,B0T,334.2195,5,5,CA,B
11,B0T,502.1643,21,20,CA,B
12,B0T,587.9827,30,23,CA,B
1,B0V,45.2118,10,6,CA,B
3,B0V,245.4456,52,19,CA,B
4,B0V,341.814,69,51,CA,B
11,B0V,305.7975,7,7,CA,B
12,B0V,208.1455,37,19,CA,B
1,B0W,321.2267,39,21,CA,B
2,B0W,89.8163,11,9,CA,B
3,B0W,1390.3809,181,99,CA,B
4,B0W,1495.0997,291,168,CA,B
10,B0W,1065.556,137,45,CA,B
11,B0W,3416.2483,211,69,CA,B
12,B0W,1863.3323,237,41,CA,B
1,B1A,77.5156,11,5,CA,B
2,B1A,254.5438,6,4,CA,B
3,B1A,502.654,56,38,CA,B
4,B1A,2575.046,217,145,CA,B
10,B1A,362.2952,14,4,CA,B
11,B1A,800.9585,12,8,CA,B
12,B1A,1316.1788,53,20,CA,B
4,B1B,208.4673,30,21,CA,B
4,B1C,173.1003,13,12,CA,B
11,B1C,72.2797,1,1,CA,B
12,B1C,434.5654,28,5,CA,B
4,B1E,75.4098,11,7,CA,B
3,B1G,79.7415,9,7,CA,B
4,B1G,144.7874,38,20,CA,B
11,B1G,68.4827,15,1,CA,B
3,B1H,163.8918,24,9,CA,B
4,B1H,1460.8137,248,167,CA,B
11,B1H,564.1981,19,18,CA,B
12,B1H,811.5859,154,20,CA,B
4,B1J,77.9372,9,5,CA,B
11,B1J,251.8566,1,1,CA,B
4,B1K,1374.6358,174,77,CA,B
11,B1K,45.6475,1,1,CA,B
12,B1K,173.1591,1,1,CA,B
3,B1L,266.1582,80,27,CA,B
4,B1L,413.9852,49,34,CA,B
11,B1L,282.3765,18,12,CA,B
12,B1L,409.7949,12,7,CA,B
4,B1M,71.8052,12,11,CA,B
10,B1M,135.1133,11,3,CA,B
11,B1M,89.7502,5,5,CA,B
12,B1M,52.6953,1,1,CA,B
3,B1N,129.6555,16,10,CA,B
4,B1N,395.2386,74,40,CA,B
11,B1N,10.5996,2,1,CA,B
12,B1N,355.7219,4,4,CA,B
2,B1P,113.2809,10,1,CA,B
3,B1P,305.1593,59,50,CA,B
4,B1P,1986.589,203,136,CA,B
9,B1P,12.6962,10,1,CA,B
11,B1P,362.0221,23,12,CA,B
12,B1P,377.3973,15,13,CA,B
2,B1R,36.2393,3,1,CA,B
3,B1R,264.3157,42,27,CA,B
4,B1R,600.6308,69,53,CA,B
11,B1R,7.8983,2,1,CA,B
12,B1R,323.7388,1,1,CA,B
1,B1S,16.1449,1,1,CA,B
3,B1S,245.0122,46,32,CA,B
4,B1S,888.1046,132,96,CA,B
10,B1S,161.5366,5,3,CA,B
11,B1S,162.0604,3,3,CA,B
12,B1S,409.441,19,6,CA,B
2,B1V,44.9873,15,5,CA,B
3,B1V,113.1861,30,18,CA,B
4,B1V,312.9925,42,21,CA,B
11,B1V,531.425,13,13,CA,B
12,B1V,99.9841,22,14,CA,B
4,B1W,121.0276,8,6,CA,B
3,B1X,48.0195,3,3,CA,B
4,B1X,97.81,26,22,CA,B
3,B1Y,37.6217,14,12,CA,B
4,B1Y,757.0796,131,79,CA,B
10,B1Y,49.5568,2,1,CA,B
11,B1Y,262.4497,28,11,CA,B
3,B2A,126.4104,32,22,CA,B
4,B2A,1204.0242,206,109,CA,B
11,B2A,153.0359,8,4,CA,B
12,B2A,716.0512,12,11,CA,B
4,B2C,19.6832,4,1,CA,B
12,B2E,193.8714,1,1,CA,B
1,B2G,290.1079,33,7,CA,B
2,B2G,19.793,5,1,CA,B
3,B2G,389.9426,101,60,CA,B
4,B2G,1580.749,253,177,CA,B
11,B2G,257.2129,25,14,CA,B
12,B2G,489.9857,24,16,CA,B
1,B2H,99.2399,20,13,CA,B
3,B2H,670.9683,108,62,CA,B
4,B2H,2133.0498,394,237,CA,B
10,B2H,430.8541,80,20,CA,B
11,B2H,207.6852,46,5,CA,B
12,B2H,209.5089,4,4,CA,B
1,B2N,22.1213,4,1,CA,B
2,B2N,72.9765,15,11,CA,B
3,B2N,930.8219,183,103,CA,B
4,B2N,3893.8783,679,473,CA,B
12,B2N,128.9712,16,12,CA,B
3,B2R,19.2286,2,2,CA,B
4,B2R,65.0753,6,5,CA,B
11,B2R,0,1,1,CA,B
2,B2S,33.2399,5,4,CA,B
3,B2S,383.244,103,74,CA,B
4,B2S,1167.6415,132,85,CA,B
10,B2S,34.1744,13,5,CA,B
11,B2S,114.008,17,11,CA,B
12,B2S,221.1633,35,19,CA,B
1,B2T,157.6722,51,14,CA,B
2,B2T,109.4809,28,6,CA,B
3,B2T,662.0024,96,55,CA,B
4,B2T,2745.4983,363,244,CA,B
10,B2T,60.0796,1,1,CA,B
11,B2T,229.3925,23,23,CA,B
12,B2T,1286.891,43,23,CA,B
1,B2V,407.0167,9,8,CA,B
3,B2V,218.2281,41,27,CA,B
4,B2V,1383.6762,187,145,CA,B
11,B2V,595.7691,4,4,CA,B
12,B2V,338.1792,20,8,CA,B
1,B2W,45.2964,11,2,CA,B
2,B2W,55.1709,11,4,CA,B
3,B2W,483.5511,83,49,CA,B
4,B2W,3131.4388,539,419,CA,B
10,B2W,120.1592,2,2,CA,B
11,B2W,568.064,6,6,CA,B
12,B2W,119.2512,14,10,CA,B
3,B2X,294.9705,62,40,CA,B
4,B2X,1036.2083,132,94,CA,B
11,B2X,491.508,6,5,CA,B
12,B2X,31.1624,1,1,CA,B
3,B2Y,749.0216,129,94,CA,B
4,B2Y,1004.4134,173,106,CA,B
12,B2Y,253.2372,6,5,CA,B
2,B2Z,288.3806,47,16,CA,B
3,B2Z,50.6748,7,5,CA,B
4,B2Z,646.3277,81,63,CA,B
10,B2Z,47.3035,2,1,CA,B
11,B2Z,273.0664,4,3,CA,B
12,B2Z,198.9834,5,3,CA,B
2,B3A,42.4718,3,3,CA,B
3,B3A,446.0333,72,57,CA,B
4,B3A,1274.235,230,145,CA,B
10,B3A,72.1415,14,13,CA,B
11,B3A,389.2476,19,11,CA,B
12,B3A,197.101,27,8,CA,B
2,B3B,144.927,16,3,CA,B
3,B3B,18.7512,6,6,CA,B
4,B3B,138.7676,23,12,CA,B
12,B3B,173.1591,1,1,CA,B
2,B3E,56.5456,15,12,CA,B
3,B3E,266.7768,41,33,CA,B
4,B3E,1085.7569,172,107,CA,B
10,B3E,57.0226,8,1,CA,B
11,B3E,706.079,33,15,CA,B
12,B3E,94.7597,14,4,CA,B
1,B3G,42.0813,13,2,CA,B
2,B3G,110.5082,22,9,CA,B
3,B3G,471.347,110,78,CA,B
4,B3G,886.0213,182,107,CA,B
10,B3G,71.661,9,6,CA,B
11,B3G,175.0038,1,1,CA,B
12,B3G,567.7152,17,13,CA,B
1,B3H,36.0661,11,5,CA,B
2,B3H,109.2693,36,3,CA,B
3,B3H,1170.1268,246,186,CA,B
4,B3H,2436.3763,408,281,CA,B
10,B3H,24.0198,4,2,CA,B
11,B3H,580.1465,46,23,CA,B
12,B3H,54.1861,3,1,CA,B
1,B3J,6.4533,1,1,CA,B
2,B3J,126.403,19,11,CA,B
3,B3J,301.0435,46,17,CA,B
4,B3J,338.7498,51,40,CA,B
9,B3J,26.2865,1,1,CA,B
10,B3J,89.3796,7,1,CA,B
11,B3J,507.1827,8,8,CA,B
12,B3J,231.4711,16,5,CA,B
1,B3K,145.8502,40,11,CA,B
2,B3K,189.748,23,11,CA,B
3,B3K,538.938,105,74,CA,B
4,B3K,1389.7431,249,173,CA,B
10,B3K,259.8541,9,4,CA,B
12,B3K,150.9777,27,17,CA,B
1,B3L,78.8329,7,5,CA,B
2,B3L,68.8749,19,8,CA,B
3,B3L,410.6566,71,37,CA,B
4,B3L,3032.2444,605,313,CA,B
11,B3L,273.8921,27,21,CA,B
12,B3L,107.7244,13,7,CA,B
2,B3M,48.2888,8,2,CA,B
3,B3M,441.4531,88,62,CA,B
4,B3M,2278.66,401,263,CA,B
11,B3M,108.9176,7,6,CA,B
12,B3M,52.6802,4,4,CA,B
2,B3N,8.9748,2,2,CA,B
3,B3N,54.9558,15,13,CA,B
4,B3N,1286.2466,237,155,CA,B
10,B3N,150.2178,1,1,CA,B
11,B3N,68.4751,1,1,CA,B
12,B3N,551.1365,13,8,CA,B
1,B3P,17.7601,1,1,CA,B
3,B3P,195.0316,22,13,CA,B
4,B3P,732.8624,128,104,CA,B
12,B3P,91.3942,2,2,CA,B
1,B3R,45.8041,15,9,CA,B
2,B3R,13.1827,5,1,CA,B
3,B3R,305.6594,67,47,CA,B
4,B3R,565.0309,90,78,CA,B
12,B3R,301.889,25,12,CA,B
3,B3S,139.5759,17,10,CA,B
4,B3S,1053.1335,182,114,CA,B
10,B3S,13.5196,2,1,CA,B
11,B3S,68.4751,1,1,CA,B
12,B3S,84.4973,9,9,CA,B
1,B3T,60.7414,3,3,CA,B
2,B3T,36.9267,20,4,CA,B
3,B3T,485.0866,82,59,CA,B
4,B3T,2115.8498,331,206,CA,B
10,B3T,225.3267,1,1,CA,B
11,B3T,442.5045,13,10,CA,B
12,B3T,575.1691,32,9,CA,B
3,B3V,472.3556,69,48,CA,B
4,B3V,974.9295,266,84,CA,B
11,B3V,242.6092,95,30,CA,B
12,B3V,352.8457,23,9,CA,B
1,B3Z,145.9499,37,9,CA,B
2,B3Z,34.2367,8,8,CA,B
3,B3Z,759.3156,100,78,CA,B
4,B3Z,1993.3186,359,261,CA,B
11,B3Z,731.0983,69,15,CA,B
12,B3Z,1725.6181,130,60,CA,B
1,B4A,19.5678,1,1,CA,B
2,B4A,57.2482,16,8,CA,B
3,B4A,617.9571,112,71,CA,B
4,B4A,1846.3537,342,238,CA,B
11,B4A,570.6436,6,6,CA,B
3,B4B,230.4228,34,32,CA,B
4,B4B,1191.7776,159,103,CA,B
11,B4B,1184.6896,170,23,CA,B
12,B4B,617.5564,43,17,CA,B
1,B4C,12.2913,2,1,CA,B
2,B4C,247.6616,47,10,CA,B
3,B4C,356.3568,53,39,CA,B
4,B4C,1278.2351,206,138,CA,B
10,B4C,192.2261,7,2,CA,B
11,B4C,698.4932,47,10,CA,B
12,B4C,576.0199,4,4,CA,B
2,B4E,15.0939,2,2,CA,B
3,B4E,496.6402,128,69,CA,B
4,B4E,1464.0991,193,140,CA,B
11,B4E,34.0814,9,2,CA,B
12,B4E,128.6627,2,2,CA,B
3,B4G,293.9419,40,36,CA,B
4,B4G,598.4619,145,70,CA,B
10,B4G,13.5196,3,3,CA,B
11,B4G,65.2409,26,4,CA,B
12,B4G,353.8396,3,2,CA,B
1,B4H,286.1086,3,3,CA,B
2,B4H,227.74,60,13,CA,B
3,B4H,720.299,113,89,CA,B
4,B4H,1600.814,232,168,CA,B
10,B4H,24.0122,3,3,CA,B
11,B4H,242.2074,22,13,CA,B
12,B4H,257.2953,6,6,CA,B
1,B4N,39.7352,14,3,CA,B
3,B4N,110.9269,11,5,CA,B
4,B4N,1005.2906,184,119,CA,B
10,B4N,47.7466,13,3,CA,B
11,B4N,102.7088,2,2,CA,B
12,B4N,113.2207,16,4,CA,B
1,B4P,16.1678,10,4,CA,B
2,B4P,116.9744,16,15,CA,B
3,B4P,61.3035,11,6,CA,B
4,B4P,565.2167,94,59,CA,B
10,B4P,135.1885,2,2,CA,B
12,B4P,90.2946,12,11,CA,B
2,B4R,30.2032,2,1,CA,B
3,B4R,160.3932,19,13,CA,B
4,B4R,77.8067,12,7,CA,B
10,B4R,52.5655,3,1,CA,B
2,B4V,130.883,25,4,CA,B
3,B4V,278.9422,42,36,CA,B
4,B4V,187.6461,22,15,CA,B
9,B4V,39.7114,14,3,CA,B
11,B4V,199.6876,17,13,CA,B
12,B4V,133.8044,27,14,CA,B
1,B5A,114.9599,14,11,CA,B
2,B5A,49.6863,3,3,CA,B
3,B5A,241.9844,45,21,CA,B
4,B5A,1121.6881,141,113,CA,B
10,B5A,390.431,18,4,CA,B
11,B5A,396.2139,17,16,CA,B
12,B5A,311.2171,31,19,CA,B
1,B9A,226.0903,6,6,CA,B
3,B9A,78.2195,13,12,CA,B
4,B9A,674.8755,97,66,CA,B
10,B9A,13.5044,2,2,CA,B
11,B9A,197.8309,6,4,CA,B
12,B9A,237.0122,26,5,CA,B
2,C0A,198.8027,29,17,CA,C
3,C0A,2548.7618,508,305,CA,C
4,C0A,3114.5697,471,294,CA,C
9,C0A,52.588,10,4,CA,C
10,C0A,309.4185,4,4,CA,C
11,C0A,1612.2384,96,35,CA,C
12,C0A,349.8411,54,20,CA,C
1,C0B,285.2695,48,18,CA,C
2,C0B,91.5519,4,4,CA,C
3,C0B,1545.6326,198,132,CA,C
4,C0B,2794.0754,437,268,CA,C
10,C0B,639.9345,57,30,CA,C
11,C0B,1432.899,97,54,CA,C
12,C0B,891.506,45,22,CA,C
1,C1A,12.2913,3,1,CA,C
2,C1A,165.5431,43,16,CA,C
3,C1A,940.0055,162,89,CA,C
4,C1A,2408.7919,354,245,CA,C
10,C1A,52.1179,11,5,CA,C
11,C1A,346.4751,45,24,CA,C
12,C1A,94.4056,11,11,CA,C
1,C1B,16.1372,2,2,CA,C
2,C1B,21.4247,4,1,CA,C
3,C1B,569.2281,122,84,CA,C
4,C1B,894.8379,101,73,CA,C
10,C1B,17.0872,1,1,CA,C
11,C1B,244.8558,13,12,CA,C
12,C1B,202.4467,11,4,CA,C
3,C1C,340.5821,80,28,CA,C
4,C1C,1180.9575,154,41,CA,C
3,C1E,404.5996,73,51,CA,C
4,C1E,809.529,213,95,CA,C
11,C1E,110.2526,1,1,CA,C
12,C1E,515.3283,31,18,CA,C
1,C1N,227.3832,40,26,CA,C
