month,State,New.Category,Total Sales Demand,Total Units Demanded per SKU,Order ID,Country,Custom_State
1,AR,Seasonal,11116.88,2296,376,US,AR
1,AZ,A,79763.25,16444,1781,US,AZ
1,AZ,Non-A,22831.33,4119,917,US,AZ
1,AZ,Seasonal,29944.21,6314,894,US,AZ
1,B0C,A,117.6139,9,1,CA,B
1,B0C,Non-A,7.2917,12,1,CA,B
1,B0E,A,86.2409,11,5,CA,B
1,B0E,Non-A,67.8823,34,8,CA,B
1,B0J,A,589.0922,37,6,CA,B
1,B0J,Non-A,45.5961,9,3,CA,B
1,B0K,A,61.1102,26,3,CA,B
1,B0N,A,23.8211,4,1,CA,B
1,B0N,Non-A,25.8364,2,2,CA,B
1,B0P,A,273.7866,9,2,CA,B
1,B0P,Non-A,46.1349,2,1,CA,B
1,B0P,Seasonal,153.6804,20,1,CA,B
1,B0S,A,164.792,20,5,CA,B
1,B0S,Non-A,47.8807,2,2,CA,B
1,B0S,Seasonal,0,6,2,CA,B
1,B0T,A,205.7991,46,5,CA,B
1,B0T,Non-A,0,2,1,CA,B
1,B0V,A,45.2118,4,1,CA,B
1,B0V,Non-A,0,6,1,CA,B
1,B0W,A,102.6226,11,5,CA,B
1,B0W,Non-A,64.9237,8,3,CA,B
1,B0W,Seasonal,153.6804,20,1,CA,B
1,B1A,A,60.9169,9,1,CA,B
1,B1A,Non-A,16.5987,2,1,CA,B
1,B1S,Non-A,16.1449,1,1,CA,B
1,B2G,A,290.1079,33,4,CA,B
1,B2H,A,40.3908,9,3,CA,B
1,B2H,Non-A,40.4044,8,2,CA,B
1,B2H,Seasonal,18.4447,3,1,CA,B
1,B2N,A,22.1213,4,1,CA,B
1,B2T,A,36.8739,6,1,CA,B
1,B2T,Non-A,120.7983,45,2,CA,B
1,B2V,A,407.0167,8,3,CA,B
1,B2V,Seasonal,0,1,1,CA,B
1,B2W,A,38.3816,10,1,CA,B
1,B2W,Non-A,6.9148,1,1,CA,B
1,B3G,A,35.628,12,1,CA,B
1,B3G,Non-A,6.4533,1,1,CA,B
1,B3H,A,36.0661,11,1,CA,B
1,B3J,A,6.4533,1,1,CA,B
1,B3K,A,129.0362,38,2,CA,B
1,B3K,Non-A,0,1,1,CA,B
1,B3K,Seasonal,16.814,1,1,CA,B
1,B3L,A,27.6901,3,1,CA,B
1,B3L,Non-A,5.984,2,1,CA,B
1,B3L,Seasonal,45.1588,2,1,CA,B
1,B3P,A,17.7601,1,1,CA,B
1,B3R,Seasonal,45.8041,15,1,CA,B
1,B3T,A,60.7414,3,2,CA,B
1,B3Z,A,0,12,1,CA,B
1,B3Z,Non-A,145.9499,25,2,CA,B
1,B4A,A,19.5678,1,1,CA,B
1,B4C,A,12.2913,2,1,CA,B
1,B4H,A,286.1086,3,1,CA,B
1,B4N,A,22.5366,10,1,CA,B
1,B4N,Non-A,17.1986,4,1,CA,B
1,B4P,A,16.1678,10,1,CA,B
1,B5A,A,48.9422,7,2,CA,B
1,B5A,Non-A,66.0177,7,2,CA,B
1,B9A,A,226.0903,6,1,CA,B
1,C0B,A,0,12,1,CA,C
1,C0B,Non-A,77.8015,9,3,CA,C
1,C0B,Seasonal,207.468,27,1,CA,C
1,C1A,A,12.2913,3,1,CA,C
1,C1B,Non-A,16.1372,2,1,CA,C
1,C1N,A,200.4699,28,6,CA,C
1,C1N,Non-A,26.9133,12,3,CA,C
1,CA,A,473666.49,82690,11007,US,CA
1,CA,Non-A,163890.92,28780,5809,US,CA
1,CA,Seasonal,198554.46,35778,5895,US,CA
1,CO,A,84377.69,13741,1934,US,CO
1,CO,Non-A,22633.04,4656,995,US,CO
1,CO,Seasonal,29938.9,4562,908,US,CO
1,CT,A,71131.76,13609,1618,US,CT
1,CT,Non-A,17954.58,3530,737,US,CT
1,CT,Seasonal,21914.41,4132,640,US,CT
1,DC,A,11215.96,2177,347,US,DC
1,DC,Non-A,3750.65,720,179,US,DC
1,DC,Seasonal,2772.71,623,129,US,DC
1,DE,A,23304.26,3791,554,US,DE
1,DE,Non-A,6838.37,1457,266,US,DE
1,DE,Seasonal,13551.14,1940,263,US,DE
1,E1A,A,127.6358,9,2,CA,E
1,E1A,Non-A,0,20,1,CA,E
1,E1A,Seasonal,33.8358,1,1,CA,E
1,E1B,A,216.0748,31,3,CA,E
1,E1B,Non-A,18.4447,9,3,CA,E
1,E1B,Seasonal,0,1,1,CA,E
1,E1C,A,0,12,2,CA,E
1,E1C,Non-A,255.6339,20,4,CA,E
1,E1C,Seasonal,0,1,1,CA,E
1,E1E,Non-A,71.4943,8,2,CA,E
1,E1E,Seasonal,0,1,1,CA,E
1,E1H,Seasonal,61.472,8,1,CA,E
1,E1N,A,0,4,2,CA,E
1,E1N,Non-A,11.8221,3,2,CA,E
1,E1N,Seasonal,0,2,1,CA,E
1,E1V,A,75.1938,9,3,CA,E
1,E1V,Non-A,0,1,1,CA,E
1,E1V,Seasonal,0,3,1,CA,E
1,E1W,A,43.0195,7,1,CA,E
1,E2A,A,89.2717,9,3,CA,E
1,E2A,Non-A,27.6207,12,2,CA,E
1,E2E,A,176.9078,13,5,CA,E
1,E2E,Non-A,0,1,1,CA,E
1,E2E,Seasonal,0,2,1,CA,E
1,E2K,A,337.8585,75,2,CA,E
1,E2L,A,183.7288,19,2,CA,E
1,E2M,A,147.5578,16,3,CA,E
1,E2M,Non-A,261.5106,1,1,CA,E
1,E2P,Non-A,72.9635,14,1,CA,E
1,E2V,A,190.4173,45,3,CA,E
1,E2V,Seasonal,0,1,1,CA,E
1,E3A,A,81.6318,5,3,CA,E
1,E3A,Non-A,26.121,8,2,CA,E
1,E3B,A,441.9016,74,6,CA,E
1,E3B,Non-A,42.1421,19,3,CA,E
1,E3B,Seasonal,0,1,1,CA,E
1,E3N,A,1009.4217,91,2,CA,E
1,E3N,Non-A,96.8149,5,2,CA,E
1,E3N,Seasonal,0,2,1,CA,E
1,E3V,A,376.6863,32,3,CA,E
1,E3Y,A,36.8845,1,1,CA,E
1,E4E,A,51.1267,3,1,CA,E
1,E4H,A,27.5746,3,2,CA,E
1,E4H,Non-A,8.2916,4,2,CA,E
1,E4J,A,207.0993,75,1,CA,E
1,E4K,A,76.9171,5,1,CA,E
1,E4L,A,9.9992,1,1,CA,E
1,E4P,A,4.4381,1,1,CA,E
1,E4P,Non-A,0,3,1,CA,E
1,E4P,Seasonal,25.5824,1,1,CA,E
1,E4R,Non-A,6.9148,1,1,CA,E
1,E4V,A,210.4718,66,6,CA,E
1,E4W,A,89.9621,4,1,CA,E
1,E4W,Non-A,10.753,2,1,CA,E
1,E4Y,A,19.7984,1,1,CA,E
1,E4Y,Non-A,0,5,1,CA,E
1,E4Z,A,82.7916,5,2,CA,E
1,E5B,A,32.2358,9,1,CA,E
1,E5G,A,19.1907,5,1,CA,E
1,E5K,Non-A,13.8143,6,1,CA,E
1,E6C,A,3.8381,1,1,CA,E
1,E6K,A,14.6372,10,1,CA,E
1,E7C,A,11.045,4,1,CA,E
1,E7H,Non-A,12.4067,2,1,CA,E
1,E7M,A,0,1,1,CA,E
1,E7M,Non-A,48.4269,3,1,CA,E
1,E8E,A,79.1554,9,2,CA,E
1,E8E,Non-A,0,4,1,CA,E
1,E8K,A,86.154,7,1,CA,E
1,E8S,A,69.1485,19,2,CA,E
1,E8S,Non-A,59.1723,3,1,CA,E
1,E8T,A,42.2197,16,1,CA,E
1,E9E,A,22.998,10,1,CA,E
1,FL,A,286358.6,51526,6502,US,FL
1,FL,Non-A,79407.92,15058,3118,US,FL
1,FL,Seasonal,92169.09,17204,3000,US,FL
1,G0A,A,96.3,5,1,CA,G
1,G0C,A,36.8893,34,3,CA,G
1,G0C,Non-A,175.5164,24,4,CA,G
1,G0G,A,21.506,21,4,CA,G
1,G0G,Non-A,294.5693,46,5,CA,G
1,G0H,A,51.4882,6,1,CA,G
1,G0J,A,305.1623,47,5,CA,G
1,G0J,Non-A,28.4361,11,2,CA,G
1,G0K,A,140.0498,41,2,CA,G
1,G0K,Non-A,0,6,1,CA,G
1,G0L,A,21.506,6,1,CA,G
1,G0M,A,25.3363,6,1,CA,G
1,G0R,A,134.4887,21,4,CA,G
1,G0R,Non-A,16.914,8,4,CA,G
1,G0R,Seasonal,0,2,1,CA,G
1,G0S,A,253.0755,47,5,CA,G
1,G0S,Non-A,24.5825,6,1,CA,G
1,G0S,Seasonal,23.0674,2,2,CA,G
1,G0T,A,30.2591,6,1,CA,G
1,G0V,A,165.7249,42,1,CA,G
1,G0V,Non-A,0,12,1,CA,G
1,G0W,A,101.3996,22,1,CA,G
1,G0W,Non-A,30.7898,10,2,CA,G
1,G0X,A,130.5047,35,4,CA,G
1,G0X,Non-A,92.1995,18,3,CA,G
1,G0X,Seasonal,0,10,3,CA,G
1,G0Z,A,14.7372,5,1,CA,G
1,G1B,A,33.8121,7,1,CA,G
1,G1B,Non-A,27.4055,9,2,CA,G
1,G1C,A,49.9192,10,1,CA,G
1,G1G,A,0,8,1,CA,G
1,G1G,Non-A,46.8117,1,1,CA,G
1,G1H,A,36.8587,12,1,CA,G
1,G1H,Non-A,2.1075,1,1,CA,G
1,G1J,A,19.9753,4,1,CA,G
1,G1K,A,26.5901,2,1,CA,G
1,G1K,Non-A,0,1,1,CA,G
1,G1L,A,30.6899,10,1,CA,G
1,G1N,A,46.3272,10,1,CA,G
1,G1P,A,155.9335,15,2,CA,G
1,G1P,Non-A,0,2,1,CA,G
1,G1P,Seasonal,0,5,1,CA,G
1,G2E,A,27.9823,1,1,CA,G
1,G2G,Non-A,36.8739,6,1,CA,G
1,G3A,A,15.3449,5,1,CA,G
1,G3A,Non-A,306.1149,2,1,CA,G
1,G4S,Non-A,29.4821,7,1,CA,G
1,G4T,A,36.7968,18,2,CA,G
1,G4T,Seasonal,0,2,1,CA,G
1,G4V,A,48.4039,7,1,CA,G
1,G4W,A,62.7938,20,2,CA,G
1,G4W,Non-A,0,1,1,CA,G
1,G4Z,A,123.7057,25,2,CA,G
1,G5A,A,125.0739,20,3,CA,G
1,G5A,Non-A,57.6183,19,3,CA,G
1,G5A,Seasonal,0,8,3,CA,G
1,G5B,A,66.0562,9,1,CA,G
1,G5B,Non-A,0,3,1,CA,G
1,G5B,Seasonal,0,6,1,CA,G
1,G5L,A,567.5943,6,1,CA,G
1,G5L,Non-A,0,1,1,CA,G
1,G5M,Non-A,26.1364,2,1,CA,G
1,G5N,Non-A,89.8848,21,1,CA,G
1,G5R,A,13.7988,8,3,CA,G
1,G5R,Non-A,39.4812,6,2,CA,G
1,G6B,A,31.4433,3,2,CA,G
1,G6B,Non-A,0,14,1,CA,G
1,G6J,Non-A,43.0736,8,1,CA,G
1,G6L,A,7.3686,2,1,CA,G
1,G6L,Non-A,15.6526,2,1,CA,G
1,G6P,A,14.4481,1,1,CA,G
1,G6T,Non-A,19.1908,5,1,CA,G
1,G6X,A,256.6005,24,2,CA,G
1,G6X,Non-A,23.052,18,2,CA,G
1,G7H,A,20.0521,2,1,CA,G
1,G7H,Non-A,239.3405,64,2,CA,G
1,G7H,Seasonal,0,5,1,CA,G
1,G7N,A,0,2,1,CA,G
1,G7N,Non-A,19.8214,7,1,CA,G
1,G7Z,A,129.1131,21,1,CA,G
1,G8B,A,19.0293,1,1,CA,G
1,G8E,A,12.6836,1,1,CA,G
1,G8H,A,41.066,2,1,CA,G
1,G8N,A,110.622,12,1,CA,G
1,G8N,Non-A,0,6,1,CA,G
1,G8P,A,64.518,12,1,CA,G
1,G8V,A,31.482,5,1,CA,G
1,G8V,Non-A,0,2,1,CA,G
1,G8W,A,0,1,1,CA,G
1,G8W,Non-A,43.841,6,1,CA,G
1,G9A,A,22.4589,2,2,CA,G
1,G9B,A,47.8269,9,1,CA,G
1,G9B,Non-A,0,1,1,CA,G
1,G9N,Non-A,18.7908,7,1,CA,G
1,G9P,Non-A,15.6449,1,1,CA,G
1,G9T,A,73.7481,12,1,CA,G
1,G9T,Non-A,34.7819,11,1,CA,G
1,G9X,A,22.9981,10,1,CA,G
1,GA,A,135167.82,22837,3070,US,GA
1,GA,Non-A,34563.81,6074,1349,US,GA
1,GA,Seasonal,48151.77,8452,1534,US,GA
1,H1A,A,26.721,9,1,CA,H
1,H1A,Non-A,9.2069,4,1,CA,H
1,H1E,A,303.3919,36,2,CA,H
1,H1H,A,149.1719,23,1,CA,H
1,H1H,Non-A,0,9,1,CA,H
1,H1J,A,26.8825,5,1,CA,H
1,H1K,A,36.1125,55,3,CA,H
1,H1K,Non-A,88.7391,3,2,CA,H
1,H1L,A,0,25,1,CA,H
1,H1L,Non-A,115.9213,6,1,CA,H
1,H1S,A,89.1552,8,2,CA,H
1,H1W,Non-A,13.0682,2,1,CA,H
1,H2C,A,57.6647,3,1,CA,H
1,H2J,A,0,3,1,CA,H
1,H2J,Non-A,21.1983,1,1,CA,H
1,H2K,A,45.9194,9,2,CA,H
1,H2R,A,46.942,11,3,CA,H
1,H2R,Non-A,55.2878,14,3,CA,H
1,H2R,Seasonal,0,2,1,CA,H
1,H2S,A,37.6432,6,1,CA,H
1,H2T,A,48.4544,20,3,CA,H
1,H2T,Non-A,26.8824,1,1,CA,H
1,H2X,A,59.203,3,1,CA,H
1,H3A,A,86.1317,7,1,CA,H
1,H3A,Non-A,0,3,1,CA,H
1,H3E,A,54.1632,6,1,CA,H
1,H3G,A,35.497,2,1,CA,H
1,H3G,Non-A,0,3,1,CA,H
1,H3H,A,10.3448,1,1,CA,H
1,H3K,A,43.1271,13,1,CA,H
1,H3L,Non-A,18.4139,6,1,CA,H
1,H3M,Non-A,75.8786,6,1,CA,H
1,H3N,A,35.82,5,1,CA,H
1,H3N,Non-A,0,3,1,CA,H
1,H3S,A,46.7883,5,2,CA,H
1,H3S,Non-A,0,2,1,CA,H
1,H3T,A,72.4095,12,2,CA,H
1,H3T,Non-A,0,4,1,CA,H
1,H3T,Seasonal,0,2,1,CA,H
1,H3W,Non-A,92.6001,19,1,CA,H
1,H3X,A,7.3686,2,1,CA,H
1,H3Z,A,23.7978,21,2,CA,H
1,H3Z,Non-A,149.5034,9,2,CA,H
1,H3Z,Seasonal,0,2,1,CA,H
1,H4A,A,121.5137,2,1,CA,H
1,H4C,A,49.9807,2,2,CA,H
1,H4E,Non-A,55.3495,4,1,CA,H
1,H4G,A,52.2651,5,2,CA,H
1,H4H,A,0,3,1,CA,H
1,H4H,Non-A,49.8811,4,2,CA,H
1,H4J,A,26.8825,5,1,CA,H
1,H4K,Non-A,27.6594,6,1,CA,H
1,H4M,A,0,33,2,CA,H
1,H4M,Non-A,355.8255,16,2,CA,H
1,H4N,A,40.5506,3,1,CA,H
1,H4P,Non-A,18.5523,3,1,CA,H
1,H4W,A,333.0434,101,3,CA,H
1,H7G,A,8.4224,5,1,CA,H
1,H7G,Non-A,18.4447,2,1,CA,H
1,H7H,A,26.0591,1,1,CA,H
1,H7H,Non-A,0,16,1,CA,H
1,H7K,A,61.4561,13,2,CA,H
1,H7K,Non-A,9.9759,4,2,CA,H
1,H7L,A,92.2236,10,1,CA,H
1,H7P,A,16.1449,1,1,CA,H
1,H7R,A,98.3383,17,3,CA,H
1,H7R,Non-A,8.0763,1,1,CA,H
1,H7T,A,10.7684,1,1,CA,H
1,H7V,A,88.1068,17,2,CA,H
1,H7W,A,90.5977,4,2,CA,H
1,H7W,Non-A,0,4,2,CA,H
1,H7X,A,61.9644,44,1,CA,H
1,H7Y,A,0,3,1,CA,H
1,H7Y,Non-A,33.4046,4,1,CA,H
1,H8N,A,69.11,15,1,CA,H
1,H8P,A,17.9755,4,2,CA,H
1,H8P,Non-A,0,2,1,CA,H
1,H8P,Seasonal,39.9198,8,1,CA,H
1,H8S,A,76.367,10,3,CA,H
1,H8S,Non-A,0,9,1,CA,H
1,H8T,Seasonal,5.993,4,1,CA,H
1,H9B,A,135.3433,18,3,CA,H
1,H9B,Non-A,25.5286,9,1,CA,H
1,H9C,A,57.4571,30,1,CA,H
1,H9H,A,26.044,14,2,CA,H
1,H9J,A,93.0389,4,1,CA,H
1,H9W,A,43.0428,4,1,CA,H
1,H9X,A,26.8671,7,1,CA,H
1,HI,A,6944.55,1253,148,US,HI
1,HI,Non-A,1145.47,389,55,US,HI
1,HI,Seasonal,3153.48,596,83,US,HI
1,IA,A,45061.61,8371,1166,US,IA
1,IA,Non-A,11155.48,2069,478,US,IA
1,IA,Seasonal,14366.56,2914,520,US,IA
1,ID,A,24409.82,4706,575,US,ID
1,ID,Non-A,7365.69,1311,258,US,ID
1,ID,Seasonal,10383.77,2175,286,US,ID
1,IL,A,186800.82,33911,4531,US,IL
1,IL,Non-A,49535.9,9894,2076,US,IL
1,IL,Seasonal,68276.84,13242,2116,US,IL
1,IN,A,90804.49,14000,2169,US,IN
1,IN,Non-A,23389.65,4362,932,US,IN
1,IN,Seasonal,34882.42,7050,1081,US,IN
1,J0A,Non-A,35.3356,8,1,CA,J
1,J0A,Seasonal,0,1,1,CA,J
1,J0B,A,69.1714,10,2,CA,J
1,J0B,Non-A,36.8894,6,1,CA,J
1,J0C,A,101.5229,1,1,CA,J
1,J0E,A,741.5269,32,5,CA,J
1,J0E,Non-A,0,1,1,CA,J
1,J0H,A,26.867,9,2,CA,J
1,J0H,Non-A,383.1734,59,2,CA,J
1,J0H,Seasonal,0,8,2,CA,J
1,J0J,A,268.4793,31,3,CA,J
1,J0J,Non-A,18.4447,3,1,CA,J
1,J0K,A,357.692,93,7,CA,J
1,J0K,Non-A,48.14,24,4,CA,J
1,J0L,A,239.055,41,6,CA,J
1,J0L,Non-A,0,2,1,CA,J
1,J0N,A,122.8128,37,2,CA,J
1,J0N,Non-A,32.259,9,1,CA,J
1,J0N,Seasonal,0,1,1,CA,J
1,J0P,A,215.214,25,5,CA,J
1,J0P,Non-A,16.8908,2,1,CA,J
1,J0P,Seasonal,0,1,1,CA,J
1,J0R,A,199.7304,33,2,CA,J
1,J0S,A,34.234,7,1,CA,J
1,J0T,A,5.761,1,1,CA,J
1,J0T,Non-A,12.8912,4,1,CA,J
1,J0V,A,22.2674,6,2,CA,J
1,J0V,Non-A,94.5923,22,1,CA,J
1,J0W,A,138.6046,15,2,CA,J
1,J0X,A,8.93,2,1,CA,J
1,J0X,Non-A,25.0518,3,2,CA,J
1,J0Y,A,119.3447,29,3,CA,J
1,J0Y,Non-A,0,2,1,CA,J
1,J0Y,Seasonal,11.4605,4,1,CA,J
1,J0Z,A,6.1378,2,1,CA,J
1,J0Z,Non-A,62.1026,8,2,CA,J
1,J1A,A,9.0272,1,1,CA,J
1,J1G,A,29.99,1,1,CA,J
1,J1H,A,37.1046,1,1,CA,J
1,J1H,Non-A,0,5,1,CA,J
1,J1M,A,0,6,1,CA,J
1,J1M,Non-A,0,3,1,CA,J
1,J1M,Seasonal,77.6534,3,1,CA,J
1,J1N,A,29.5976,6,1,CA,J
1,J1N,Non-A,0,4,1,CA,J
1,J1X,A,61.4568,10,1,CA,J
1,J2A,Non-A,13.0682,1,1,CA,J
1,J2C,A,8.0608,4,1,CA,J
1,J2C,Non-A,0,4,1,CA,J
1,J2H,A,13.822,3,1,CA,J
1,J2K,A,18.4447,3,1,CA,J
1,J2R,Non-A,99.8614,8,3,CA,J
1,J2R,Seasonal,0,9,2,CA,J
1,J2S,A,202.26,55,3,CA,J
1,J2S,Non-A,132.5051,30,3,CA,J
1,J3B,A,189.165,63,5,CA,J
1,J3B,Non-A,0,12,2,CA,J
1,J3B,Seasonal,0,3,1,CA,J
1,J3G,A,198.1919,27,3,CA,J
1,J3G,Non-A,0,7,2,CA,J
1,J3G,Seasonal,0,5,1,CA,J
1,J3H,A,27.9901,1,1,CA,J
1,J3L,Non-A,36.8893,6,1,CA,J
1,J3N,A,27.5517,2,1,CA,J
1,J3N,Non-A,18.4447,18,2,CA,J
1,J3V,Seasonal,11.4914,6,1,CA,J
1,J3Y,A,333.7963,59,6,CA,J
1,J3Y,Non-A,0,13,3,CA,J
1,J3Y,Seasonal,0,1,1,CA,J
1,J4B,A,84.8703,6,2,CA,J
1,J4H,A,0,5,1,CA,J
1,J4H,Non-A,49.5959,7,1,CA,J
1,J4J,A,245.8272,40,1,CA,J
1,J4J,Seasonal,69.8946,13,1,CA,J
1,J4K,A,9.1992,3,1,CA,J
1,J4K,Non-A,0,1,1,CA,J
1,J4L,A,15.3834,1,1,CA,J
1,J4M,A,39.9199,3,1,CA,J
1,J4M,Non-A,0,7,1,CA,J
1,J4N,Non-A,44.7447,7,1,CA,J
1,J4V,Seasonal,23.0161,3,1,CA,J
1,J4Y,Non-A,-0.8432,2,1,CA,J
1,J5A,A,47.842,13,1,CA,J
1,J5A,Non-A,0,8,1,CA,J
1,J5C,A,0.3768,1,1,CA,J
1,J5K,A,33.1817,3,1,CA,J
1,J5K,Non-A,0,3,1,CA,J
1,J5L,A,14.2912,2,1,CA,J
1,J5L,Non-A,28.6777,14,1,CA,J
1,J5L,Seasonal,0,2,1,CA,J
1,J5M,Non-A,27.6594,6,1,CA,J
1,J5W,A,124.5055,10,2,CA,J
1,J5W,Seasonal,0,9,1,CA,J
1,J5X,A,0,21,4,CA,J
1,J5X,Non-A,540.5256,205,5,CA,J
1,J5Y,A,44.1963,4,1,CA,J
1,J5Z,A,78.4574,13,2,CA,J
1,J6A,Non-A,9.6684,3,1,CA,J
1,J6E,A,546.3878,72,8,CA,J
1,J6E,Non-A,0,28,5,CA,J
1,J6E,Seasonal,115.8445,10,3,CA,J
1,J6J,A,109.0222,26,2,CA,J
1,J6K,A,42.4119,3,1,CA,J
1,J6K,Non-A,0,3,1,CA,J
1,J6S,A,20.1249,9,2,CA,J
1,J6S,Non-A,86.0394,7,2,CA,J
1,J6W,A,40.9195,2,1,CA,J
1,J6W,Non-A,13.4451,5,2,CA,J
1,J6Y,A,79.8395,19,1,CA,J
1,J6Y,Non-A,0,1,1,CA,J
1,J7A,A,38.3042,3,1,CA,J
1,J7A,Non-A,31.9511,35,2,CA,J
1,J7C,A,23.052,3,1,CA,J
1,J7C,Non-A,32.259,9,1,CA,J
1,J7E,A,46.0579,13,2,CA,J
1,J7J,A,59.3636,75,2,CA,J
1,J7J,Non-A,121.1437,30,2,CA,J
1,J7J,Seasonal,0,27,2,CA,J
1,J7L,A,88.6776,23,3,CA,J
1,J7L,Non-A,0,11,2,CA,J
1,J7L,Seasonal,45.9194,10,1,CA,J
1,J7M,A,78.3654,3,2,CA,J
1,J7M,Non-A,0,2,1,CA,J
1,J7N,A,33.2435,3,2,CA,J
1,J7N,Non-A,0,2,2,CA,J
1,J7N,Seasonal,113.0295,3,2,CA,J
1,J7P,A,0,6,1,CA,J
1,J7P,Non-A,58.7639,3,1,CA,J
1,J7P,Seasonal,0,1,1,CA,J
1,J7R,A,17.814,6,1,CA,J
1,J7T,A,69.1869,5,1,CA,J
1,J7V,A,96.7096,4,1,CA,J
1,J7V,Non-A,24.9903,6,3,CA,J
1,J7V,Seasonal,0,1,1,CA,J
1,J7X,A,9.2146,3,1,CA,J
1,J7Y,A,60.2566,9,4,CA,J
1,J7Y,Non-A,40.1505,12,4,CA,J
1,J7Z,A,292.6926,33,4,CA,J
1,J7Z,Non-A,123.4211,11,3,CA,J
1,J8E,A,112.8757,7,1,CA,J
1,J8L,A,97.9918,9,2,CA,J
1,J8L,Non-A,0,2,1,CA,J
1,J8M,Seasonal,18.4447,4,1,CA,J
1,J8N,A,98.3765,7,1,CA,J
1,J8N,Non-A,0,3,1,CA,J
1,J8P,A,50.0212,12,2,CA,J
1,J8V,A,71.4251,14,2,CA,J
1,J8Y,Non-A,16.1295,3,1,CA,J
1,J8Z,Non-A,9.0272,1,1,CA,J
1,J9B,A,22.647,7,2,CA,J
1,J9B,Non-A,0,1,1,CA,J
1,J9E,A,429.4207,71,2,CA,J
1,J9E,Non-A,19.0293,1,1,CA,J
1,J9H,A,142.1961,19,4,CA,J
1,J9H,Non-A,0,9,1,CA,J
1,J9H,Seasonal,0,3,1,CA,J
1,J9J,A,18.4447,3,1,CA,J
1,J9L,Non-A,43.0195,10,1,CA,J
1,J9P,A,175.2786,47,7,CA,J
1,J9P,Non-A,32.0975,1,1,CA,J
1,J9T,A,30.7284,5,1,CA,J
1,J9X,A,162.9594,42,4,CA,J
1,J9X,Non-A,60.3951,11,2,CA,J
1,J9Z,A,0,6,1,CA,J
1,J9Z,Non-A,45.15,9,3,CA,J
1,K0A,A,195.8385,71,5,CA,K
1,K0A,Non-A,519.2134,37,5,CA,K
1,K0A,Seasonal,46.0424,4,1,CA,K
1,K0B,A,127.2047,15,3,CA,K
